word_id;word
wd_52607;ABILITY
wd_61211;ACADEMIC
wd_72649;ACCESS
wd_11850;ACCOUNT
wd_87134;ACTION
wd_09510;ACTIVITY
wd_53088;ACTRESS
wd_74412;ADDITION
wd_46173;ADDRESS
wd_01365;ADVANCE
wd_60723;ADVANTAGE
wd_73638;ADVENTURE
wd_86794;ADVICE
wd_07825;AFFAIR
wd_39647;AFTERNOON
wd_41889;AGENCY
wd_69439;AGENDA
wd_50563;AGREEMENT
wd_66697;AIRCRAFT
wd_82639;AIRLINE
wd_33336;AIRPORT
wd_85855;ALCOHOL
wd_83866;AMBITION
wd_42242;AMOUNT
wd_79956;ANALYSIS
wd_62366;ANIMAL
wd_78743;ANSWER
wd_69272;APARTMENT
wd_29040;APPEAL
wd_90088;APPROACH
wd_91862;APPROVAL
wd_12169;ARCHITECT
wd_24532;ARGUMENT
wd_50347;ARRIVAL
wd_69141;ARTICLE
wd_57553;ARTIST
wd_51390;ASPECT
wd_78287;ASSISTANT
wd_62592;ATHLETE
wd_44132;ATTENTION
wd_08222;ATTITUDE
wd_42583;AUDIENCE
wd_76249;AUGUST
wd_80770;AUTHOR
wd_60683;AUTHORITY
wd_66499;AUTUMN
wd_37573;AVERAGE
wd_27772;BACTERIA
wd_87281;BALANCE
wd_30209;BANANA
wd_16123;BARRIER
wd_74234;BASEBALL
wd_85836;BATHROOM
wd_52758;BATTERY
wd_81039;BATTLE
wd_38280;BEAUTY
wd_35181;BEDROOM
wd_45759;BEGINNING
wd_64789;BELIEF
wd_19852;BENEFIT
wd_79273;BETTER
wd_73865;BICYCLE
wd_13106;BIOLOGY
wd_86889;BIRTHDAY
wd_38565;BISCUIT
wd_71472;BORDER
wd_92599;BOTTLE
wd_20296;BOTTOM
wd_22714;BRANCH
wd_59022;BREAKFAST
wd_09201;BREAST
wd_93855;BREATH
wd_98655;BREATHING
wd_70895;BRIDGE
wd_44656;BROADCAST
wd_21470;BROTHER
wd_97232;BUBBLE
wd_96682;BUDGET
wd_33139;BUILDING
wd_90537;BULLET
wd_16440;BUSINESS
wd_35123;BUTTER
wd_06554;BUTTON
wd_24727;CAMERA
wd_68458;CAMPAIGN
wd_04592;CAMPING
wd_54380;CAMPUS
wd_87121;CANCER
wd_50675;CANDIDATE
wd_14632;CAPACITY
wd_54769;CAPITAL
wd_11280;CAPTAIN
wd_72725;CAPTURE
wd_81728;CAREER
wd_10234;CARPET
wd_77502;CARROT
wd_54547;CARTOON
wd_86535;CASTLE
wd_54936;CATEGORY
wd_69831;CEILING
wd_23515;CELEBRITY
wd_46110;CENTRE
wd_01400;CENTURY
wd_81665;CEREMONY
wd_31870;CHAIRMAN
wd_64298;CHALLENGE
wd_80187;CHAMPION
wd_84832;CHANCE
wd_09999;CHANGE
wd_31535;CHANNEL
wd_50392;CHAPTER
wd_06060;CHARACTER
wd_47638;CHARGE
wd_59961;CHARITY
wd_55800;CHEESE
wd_56946;CHEMICAL
wd_22602;CHEMISTRY
wd_65273;CHICKEN
wd_79343;CHILDHOOD
wd_20486;CHOCOLATE
wd_94457;CHOICE
wd_00816;CHURCH
wd_82071;CIGARETTE
wd_85517;CINEMA
wd_51274;CIRCLE
wd_28392;CITIZEN
wd_64401;CLASSIC
wd_17265;CLASSROOM
