word_id;word
wd_77811;ABEILLE
wd_14516;ABRICOT
wd_05963;ACCORD
wd_47786;ACROBATE
wd_40719;ADDITION
wd_83240;ADRESSE
wd_31859;AEROSOL
wd_16091;AFFAIRE
wd_79900;AFFICHE
wd_42405;AGENCE
wd_00681;AGNEAU
wd_02908;AIGUILLE
wd_35444;ALIMENT
wd_61940;ALLURE
wd_00032;ALOUETTE
wd_00866;ANANAS
wd_41435;ANIMAL
wd_42744;ANNEAU
wd_08333;ANORAK
wd_11580;ANTENNE
wd_97957;APPAREIL
wd_29642;APPETIT
wd_68217;AQUARIUM
wd_61247;ARAIGNEE
wd_08944;ARLEQUIN
wd_83973;ARMOIRE
wd_18264;ARMURE
wd_86374;ARRIERE
wd_93379;ARRIVEE
wd_14704;ARROSAGE
wd_13715;ARROSOIR
wd_42517;ARTIFICE
wd_25083;ASSIETTE
wd_80347;AUTOBUS
wd_69561;AUTOMNE
wd_87421;AUTRUCHE
wd_66883;AVENTURE
wd_09364;AVENUE
wd_72775;AVIATEUR
wd_41783;AVIATION
wd_39576;BAGAGE
wd_30107;BAGUETTE
wd_24540;BALANCE
wd_26039;BALCON
wd_17598;BALEINE
wd_44436;BALLON
wd_00103;BANANE
wd_00019;BARQUE
wd_98330;BARRAGE
wd_74345;BARRIERE
wd_97246;BASSIN
wd_25412;BATEAU
wd_87596;BERCEAU
wd_12624;BERGER
wd_29724;BESOIN
wd_61465;BEURRE
wd_37509;BIBERON
wd_17928;BIGOUDI
wd_61892;BISCUIT
wd_03643;BOHEMIEN
wd_91709;BOISSON
wd_00631;BONBON
wd_79154;BONHEUR
wd_62573;BONHOMME
wd_37273;BONNET
wd_47357;BOUCHE
wd_71567;BOUCHER
wd_69403;BOUCHON
wd_13754;BOUCLE
wd_99615;BOUGIE
wd_02620;BOUQUET
wd_74251;BOUTIQUE
wd_03118;BOUTON
wd_78634;BOXEUR
wd_81639;BRANCHE
wd_17179;BRIOCHE
wd_47418;BRIQUE
wd_04838;BROSSE
wd_58129;BUISSON
wd_75661;BUREAU
wd_77246;CABANE
wd_76263;CABINE
wd_23983;CACHETTE
wd_32039;CADDIE
wd_70632;CADEAU
wd_97274;CAFETIER
wd_66048;CAHIER
wd_31956;CAILLOU
wd_89567;CAISSE
wd_43396;CAMARADE
wd_59814;CAMION
wd_46193;CAMPAGNE
wd_55088;CANARD
wd_06698;CANTINE
wd_42083;CARAMEL
wd_52607;CARNAVAL
wd_61211;CARNET
wd_72649;CAROTTE
wd_11850;CARTABLE
wd_87134;CARTON
wd_09510;CASQUE
wd_53088;CASTOR
wd_74412;CEINTURE
wd_46173;CERCEAU
wd_01365;CERISE
wd_60723;CERISIER
wd_73638;CHAGRIN
wd_86794;CHAISE
